COD_RH_MUNICIPIO;COD_MUNICIPIO;SGL_PAIS;SGL_DEPARTAMENTO;TXT_NME_MUNICIPIO;TXT_NME_MUNICIPIO_FILTRO
0000030899;5;N/A;N/A;Universidad de Antioquia;UNIVERSIDAD DE ANTIOQUIA
0000031020;5;N/A;N/A;Caracas;CARACAS
0000031046;12;N/A;N/A;Elsevier Science Ltd;ELSEVIER SCIENCE LTD
0000031089;4;BRA;RJ;Rio de Janeiro;RIO DE JANEIRO
0000031089;5;ARG;N/A;Buenos Aires;BUENOS AIRES
0000031089;7;EUA;N/A;San Diego;SAN DIEGO
0000031186;8;N/A;N/A;Chile;CHILE
0000031186;9;N/A;N/A;London;LONDON
0000031216;3;N/A;N/A;París;PARIS
0000031216;4;N/A;N/A;Bologna;BOLOGNA
0000031224;1;N/A;N/A;UPB;UPB
0000031224;10;VEN;ZU;Maracaibo;MARACAIBO
0000031224;11;MEX;DF;Ciudad de México ;CIUDAD DE MEXICO
0000031224;2;N/A;N/A;U Nal Autónoma de Mexico;U NAL AUTONOMA DE MEXICO
0000031224;3;N/A;N/A;Universidad de Antioquia;UNIVERSIDAD DE ANTIOQUIA
0000031224;4;N/A;N/A;Asociación de Profesores UdeA;ASOCIACION DE PROFESORES UDEA
0000031224;5;N/A;N/A;Universidad Autónoma Latinoam;UNIVERSIDAD AUTONOMA LATINOAM
0000031224;6;N/A;N/A;Instituo Popular de Capacitaci;INSTITUO POPULAR DE CAPACITACI
0000031224;7;N/A;N/A;Universidad Autónoma Latinoame;UNIVERSIDAD AUTONOMA LATINOAME
0000031224;8;N/A;N/A;Universidad del Zulia Venezuel;UNIVERSIDAD DEL ZULIA VENEZUEL
0000031232;2;N/A;N/A;Lima;LIMA
0000031232;3;N/A;N/A;Mexico;MEXICO
0000031232;4;N/A;N/A;Panplona;PANPLONA
0000031232;5;N/A;N/A;Mexico D.F.;MEXICO DF
0000031232;6;N/A;N/A;Ciudad de México;CIUDAD DE MEXICO
0000031232;7;VEN;ME;Merida;MERIDA
0000031240;3;N/A;N/A;Universidad Aotónoma Latinoame;UNIVERSIDAD AOTONOMA LATINOAME
0000031240;4;N/A;N/A;Universidad Autónoma Latinoame;UNIVERSIDAD AUTONOMA LATINOAME
0000031275;5;N/A;N/A;NACIONAL;NACIONAL
0000031275;7;N/A;N/A;internacional;INTERNACIONAL
0000031291;25;N/A;N/A;www.sephis.org;WWWSEPHISORG
0000031321;4;N/A;N/A;USB;USB
0000031321;5;N/A;N/A;Universidad Simón Bolívar;UNIVERSIDAD SIMON BOLIVAR
0000031321;6;N/A;N/A;Universidad del Atlántico;UNIVERSIDAD DEL ATLANTICO
0000031321;7;N/A;N/A;Postgrado en Geografía EPG-UPT;POSTGRADO EN GEOGRAFIA EPG UPT
0000031321;8;N/A;N/A;Universidad Pedagógica Naciona;UNIVERSIDAD PEDAGOGICA NACIONA
0000031402;22;N/A;N/A;Cuba;CUBA
0000031402;23;N/A;N/A;Suiza;SUIZA
0000031402;24;N/A;N/A;Brasil;BRASIL
0000031402;25;N/A;N/A;España;ESPANA
0000031402;26;N/A;N/A;Holanda;HOLANDA
0000031402;27;N/A;N/A;Alemania;ALEMANIA
0000031402;28;N/A;N/A;Hoolanda;HOOLANDA
0000031402;29;N/A;N/A;Singapur;SINGAPUR
0000031402;30;N/A;N/A;Amsterdan;AMSTERDAN
0000031402;32;N/A;N/A;Inglaterra;INGLATERRA
0000031402;33;N/A;N/A;EStados Unidos;ESTADOS UNIDOS
0000031437;3;N/A;N/A;Weinheim;WEINHEIM
0000031437;4;EUA;N/A;USA;USA
0000031445;12;N/A;N/A;Holanda;HOLANDA
0000031445;15;N/A;N/A;http://www.wiley-vch.de;HTTP//WWWWILEY VCHDE
0000031445;16;N/A;N/A;http://www3.interscience.wiley;HTTP//WWW3INTERSCIENCEWILEY
0000031453;4;N/A;N/A;ELSEVIER;ELSEVIER
0000031453;5;N/A;N/A;American Scientific Publishers;AMERICAN SCIENTIFIC PUBLISHERS
0000031488;2;CHL;13;santiago;SANTIAGO
0000031496;3;N/A;N/A;Holanda;HOLANDA
0000031496;4;N/A;N/A;http://www.sociedadcolombianad;HTTP//WWWSOCIEDADCOLOMBIANAD
0000031496;5;GBR;N/A;Inglaterra;INGLATERRA
0000031518;1;N/A;N/A;ELSEVIER;ELSEVIER
0000031518;2;N/A;N/A;Wiley-VCH;WILEY VCH
0000031518;3;N/A;N/A;Trans Tech Publications;TRANS TECH PUBLICATIONS
0000031518;4;N/A;N/A;Baltzer Science Publishers;BALTZER SCIENCE PUBLISHERS
0000031518;5;N/A;N/A;Kluwer Academic Publishers;KLUWER ACADEMIC PUBLISHERS
0000031518;6;N/A;N/A;Sociedad Colombiana de Física;SOCIEDAD COLOMBIANA DE FISICA
0000031542;3;N/A;N/A;Suiza;SUIZA
0000031542;4;N/A;N/A;Holanda;HOLANDA
0000031542;5;N/A;N/A;Alemania;ALEMANIA
0000031542;6;N/A;N/A;www.utp.edu.co;WWWUTPEDUCO
0000031542;7;N/A;N/A;Universidad del Valle;UNIVERSIDAD DEL VALLE
0000031542;8;N/A;N/A;http://www.utp.edu.co/ciencia/;HTTP//WWWUTPEDUCO/CIENCIA/
0000031542;9;VEN;DF;Caracas;CARACAS
0000031577;1;N/A;N/A;España;ESPANA
0000031577;2;N/A;N/A;Holanda;HOLANDA
0000031577;3;N/A;N/A;Alemania;ALEMANIA
0000031577;4;N/A;N/A;Hoolanda;HOOLANDA
0000031577;5;N/A;N/A;Amsterdam;AMSTERDAM
0000031577;6;N/A;N/A;Inglaterra;INGLATERRA
0000031577;7;N/A;N/A;Estados Unidos;ESTADOS UNIDOS
0000031607;10;N/A;N/A;Hoolanda;HOOLANDA
0000031607;11;N/A;N/A;Inglaterra;INGLATERRA
0000031607;12;N/A;N/A;Estados Unidos;ESTADOS UNIDOS
0000031607;7;N/A;N/A;Suiza;SUIZA
0000031607;8;N/A;N/A;Holanda;HOLANDA
0000031607;9;N/A;N/A;Alemania;ALEMANIA
0000031615;7;ING;N/A;Londres;LONDRES
0000031623;2;N/A;N/A;Universidad de Antioquia;UNIVERSIDAD DE ANTIOQUIA
0000031631;10;EUA;N/A;Nueva York;NUEVA YORK
0000031631;16;VEN;N/A;Caracas;CARACAS
0000031631;4;N/A;N/A;Universidad de Antioquia;UNIVERSIDAD DE ANTIOQUIA
0000031631;5;N/A;N/A;Universidad Tec de Pereira;UNIVERSIDAD TEC DE PEREIRA
0000031631;7;VEN;CA;Caracas;CARACAS
0000031631;8;ESP;N/A;Madrid;MADRID
0000031674;10;N/A;N/A;Imprenta Universidad de Antioq;IMPRENTA UNIVERSIDAD DE ANTIOQ
0000031674;5;N/A;N/A;Pennington, USA;PENNINGTON USA
0000031674;6;N/A;N/A;Universidad de Antioquia;UNIVERSIDAD DE ANTIOQUIA
0000031674;7;N/A;N/A;Freund Publishing Co. LTD;FREUND PUBLISHING CO LTD
0000031674;8;N/A;N/A;Centro Superior de Investigaci;CENTRO SUPERIOR DE INVESTIGACI
0000031674;9;N/A;N/A;ImprenUniversidad de Antioquia;IMPRENUNIVERSIDAD DE ANTIOQUIA
0000031690;14;N/A;N/A;UPB;UPB
0000031690;15;N/A;N/A;Universidad d Antioquia;UNIVERSIDAD D ANTIOQUIA
0000031690;16;N/A;N/A;Universidad de Antioquia;UNIVERSIDAD DE ANTIOQUIA
0000031712;1;N/A;N/A;Universidad de Antioquia;UNIVERSIDAD DE ANTIOQUIA
0000031860;1;PER;N/A;Lima;LIMA
0000031879;1;N/A;N/A;Universidad Nacional de Colomb;UNIVERSIDAD NACIONAL DE COLOMB
0000031909;2;N/A;N/A;Valladolid;VALLADOLID
0000031909;3;CHL;5;Valparaíso;VALPARAISO
0000032018;2;N/A;N/A;www.unisimonbolivar.edu.co;WWWUNISIMONBOLIVAREDUCO
0000032093;1;N/A;N/A;España;ESPANA
0000032107;1;RFA;N/A;Halle;HALLE
0000032107;13;N/A;N/A;UPB;UPB
0000032107;17;N/A;N/A;San Buenaventura Medellín;SAN BUENAVENTURA MEDELLIN
0000032115;8;N/A;N/A;Universidad de Antioquia;UNIVERSIDAD DE ANTIOQUIA
0000032115;9;N/A;N/A;Universidad Pontificia Bolivar;UNIVERSIDAD PONTIFICIA BOLIVAR
0000032190;2;N/A;N/A;España;ESPANA
0000032204;1;N/A;N/A;España;ESPANA
0000032310;15;N/A;N/A;UA;UA
0000032310;16;N/A;N/A;UN;UN
0000032310;19;N/A;N/A;España;ESPANA
0000032310;20;N/A;N/A;Ecuador;ECUADOR
